Home,Away
Wolfsburg,Hamburger SV
Borussia Dortmund,Borussia M.Gladbach
Bayern Munich,Hoffenheim
Schalke 04,Wolfsburg
Borussia M.Gladbach,Eintracht Frankfurt
Mainz 05,Freiburg
Hannover 96,Bayer Leverkusen
Paderborn,Borussia Dortmund
FC Cologne,Hertha Berlin
Hamburger SV,Werder Bremen
VfB Stuttgart,Augsburg
Freiburg,VfB Stuttgart
Augsburg,Hamburger SV
Schalke 04,Mainz 05
Bayer Leverkusen,FC Cologne
Hertha Berlin,Bayern Munich
Werder Bremen,Paderborn
Hoffenheim,Hannover 96
Wolfsburg,Borussia M.Gladbach
Eintracht Frankfurt,Borussia Dortmund
Borussia Dortmund,Hoffenheim
Borussia M.Gladbach,Hertha Berlin
Hannover 96,Wolfsburg
VfB Stuttgart,Schalke 04
Paderborn,Freiburg
FC Cologne,Augsburg
Bayern Munich,Bayer Leverkusen
Hamburger SV,Mainz 05
Eintracht Frankfurt,Werder Bremen
Hoffenheim,Eintracht Frankfurt
Hertha Berlin,Borussia Dortmund
Werder Bremen,Hannover 96
Augsburg,Bayern Munich
Schalke 04,FC Cologne
Freiburg,Hamburger SV
Mainz 05,VfB Stuttgart
Bayer Leverkusen,Borussia M.Gladbach
Wolfsburg,Paderborn
Hannover 96,Augsburg
Hamburger SV,VfB Stuttgart
FC Cologne,Mainz 05
Bayern Munich,Freiburg
Eintracht Frankfurt,Hertha Berlin
Borussia Dortmund,Wolfsburg
Borussia M.Gladbach,Werder Bremen
Hoffenheim,Bayer Leverkusen
Paderborn,Schalke 04
Mainz 05,Bayern Munich
Augsburg,Borussia M.Gladbach
Werder Bremen,Borussia Dortmund
Schalke 04,Hamburger SV
Bayer Leverkusen,Eintracht Frankfurt
VfB Stuttgart,Paderborn
Wolfsburg,FC Cologne
Hertha Berlin,Hoffenheim
Freiburg,Hannover 96
Wolfsburg,Bayern Munich
Mainz 05,Paderborn
Freiburg,Eintracht Frankfurt
VfB Stuttgart,Borussia M.Gladbach
Hamburger SV,FC Cologne
Schalke 04,Hannover 96
Bayer Leverkusen,Borussia Dortmund
Werder Bremen,Hertha Berlin
Augsburg,Hoffenheim
Hannover 96,Mainz 05
Eintracht Frankfurt,Wolfsburg
Bayern Munich,Schalke 04
Borussia M.Gladbach,Freiburg
Borussia Dortmund,Augsburg
FC Cologne,VfB Stuttgart
Paderborn,Hamburger SV
Hertha Berlin,Bayer Leverkusen
Hoffenheim,Werder Bremen
Schalke 04,Borussia M.Gladbach
FC Cologne,Paderborn
Freiburg,Borussia Dortmund
VfB Stuttgart,Bayern Munich
Mainz 05,Hertha Berlin
Wolfsburg,Hoffenheim
Hamburger SV,Hannover 96
Werder Bremen,Bayer Leverkusen
Augsburg,Eintracht Frankfurt
Borussia Dortmund,Mainz 05
Borussia M.Gladbach,FC Cologne
Bayer Leverkusen,Wolfsburg
Hoffenheim,VfB Stuttgart
Werder Bremen,Augsburg
Bayern Munich,Hamburger SV
Eintracht Frankfurt,Schalke 04
Hertha Berlin,Freiburg
Hannover 96,Paderborn
VfB Stuttgart,Borussia Dortmund
Freiburg,Hoffenheim
Augsburg,Bayer Leverkusen
Mainz 05,Eintracht Frankfurt
Schalke 04,Werder Bremen
Paderborn,Bayern Munich
FC Cologne,Hannover 96
Hamburger SV,Borussia M.Gladbach
Wolfsburg,Hertha Berlin
Bayern Munich,FC Cologne
Borussia Dortmund,Schalke 04
Bayer Leverkusen,Freiburg
Hoffenheim,Mainz 05
Hannover 96,VfB Stuttgart
Hertha Berlin,Augsburg
Eintracht Frankfurt,Hamburger SV
Borussia M.Gladbach,Paderborn
Werder Bremen,Wolfsburg
VfB Stuttgart,Hertha Berlin
Hamburger SV,Borussia Dortmund
Augsburg,Wolfsburg
Hannover 96,Bayern Munich
Freiburg,Werder Bremen
Schalke 04,Hoffenheim
Mainz 05,Borussia M.Gladbach
FC Cologne,Eintracht Frankfurt
Paderborn,Bayer Leverkusen
Bayer Leverkusen,VfB Stuttgart
Augsburg,Mainz 05
Hoffenheim,Hamburger SV
Hertha Berlin,Schalke 04
Werder Bremen,Bayern Munich
Eintracht Frankfurt,Paderborn
Borussia Dortmund,FC Cologne
Wolfsburg,Freiburg
Borussia M.Gladbach,Hannover 96
Hamburger SV,Hertha Berlin
FC Cologne,Werder Bremen
Paderborn,Hoffenheim
Hannover 96,Borussia Dortmund
Freiburg,Augsburg
VfB Stuttgart,Eintracht Frankfurt
Schalke 04,Bayer Leverkusen
Mainz 05,Wolfsburg
Bayern Munich,Borussia M.Gladbach
Werder Bremen,Mainz 05
Eintracht Frankfurt,Hannover 96
Freiburg,FC Cologne
Hoffenheim,Borussia M.Gladbach
Bayer Leverkusen,Hamburger SV
Wolfsburg,VfB Stuttgart
Borussia Dortmund,Bayern Munich
Augsburg,Schalke 04
Hertha Berlin,Paderborn
Hannover 96,Hertha Berlin
Bayern Munich,Eintracht Frankfurt
Schalke 04,Freiburg
Borussia M.Gladbach,Borussia Dortmund
Mainz 05,Bayer Leverkusen
Paderborn,Augsburg
Hamburger SV,Wolfsburg
FC Cologne,Hoffenheim
VfB Stuttgart,Werder Bremen
Eintracht Frankfurt,Borussia M.Gladbach
Freiburg,Mainz 05
Hoffenheim,Bayern Munich
Hertha Berlin,FC Cologne
Borussia Dortmund,Paderborn
Bayer Leverkusen,Hannover 96
Augsburg,VfB Stuttgart
Werder Bremen,Hamburger SV
Wolfsburg,Schalke 04
Mainz 05,Schalke 04
Hannover 96,Hoffenheim
VfB Stuttgart,Freiburg
Hamburger SV,Augsburg
FC Cologne,Bayer Leverkusen
Borussia Dortmund,Eintracht Frankfurt
Bayern Munich,Hertha Berlin
Paderborn,Werder Bremen
Borussia M.Gladbach,Wolfsburg
Schalke 04,VfB Stuttgart
Wolfsburg,Hannover 96
Augsburg,FC Cologne
Hoffenheim,Borussia Dortmund
Werder Bremen,Eintracht Frankfurt
Freiburg,Paderborn
Bayer Leverkusen,Bayern Munich
Mainz 05,Hamburger SV
Hertha Berlin,Borussia M.Gladbach
Hamburger SV,Freiburg
Bayern Munich,Augsburg
Borussia Dortmund,Hertha Berlin
Borussia M.Gladbach,Bayer Leverkusen
Hannover 96,Werder Bremen
Eintracht Frankfurt,Hoffenheim
VfB Stuttgart,Mainz 05
Paderborn,Wolfsburg
FC Cologne,Schalke 04
Schalke 04,Paderborn
Bayer Leverkusen,Hoffenheim
Wolfsburg,Borussia Dortmund
Augsburg,Hannover 96
Mainz 05,FC Cologne
Werder Bremen,Borussia M.Gladbach
Hertha Berlin,Eintracht Frankfurt
VfB Stuttgart,Hamburger SV
Freiburg,Bayern Munich
FC Cologne,Wolfsburg
Hamburger SV,Schalke 04
Eintracht Frankfurt,Bayer Leverkusen
Hannover 96,Freiburg
Hoffenheim,Hertha Berlin
Borussia M.Gladbach,Augsburg
Bayern Munich,Mainz 05
Borussia Dortmund,Werder Bremen
Paderborn,VfB Stuttgart
