Home,Away
Werder Bremen,Mainz 05
FC Cologne,Bayern Munich
Hertha Berlin,Ingolstadt
Eintracht Frankfurt,Hannover 96
VfB Stuttgart,Bayer Leverkusen
Augsburg,Borussia Dortmund
Bayer Leverkusen,Wolfsburg
Bayern Munich,Eintracht Frankfurt
Mainz 05,Augsburg
Ingolstadt,Schalke 04
Darmstadt,VfB Stuttgart
Hannover 96,Hamburger SV
Borussia Dortmund,Werder Bremen
Borussia M.Gladbach,Hertha Berlin
Hoffenheim,FC Cologne
Hertha Berlin,Hannover 96
Ingolstadt,Borussia M.Gladbach
Hamburger SV,Darmstadt
VfB Stuttgart,Bayern Munich
Werder Bremen,Augsburg
Eintracht Frankfurt,Hoffenheim
Wolfsburg,Mainz 05
Schalke 04,Borussia Dortmund
FC Cologne,Bayer Leverkusen
Hannover 96,Borussia M.Gladbach
Hoffenheim,Hertha Berlin
Darmstadt,Ingolstadt
Bayer Leverkusen,Eintracht Frankfurt
Augsburg,VfB Stuttgart
Werder Bremen,Wolfsburg
Bayern Munich,Schalke 04
Borussia Dortmund,Hamburger SV
Mainz 05,FC Cologne
Hamburger SV,Werder Bremen
VfB Stuttgart,Borussia Dortmund
Wolfsburg,Augsburg
FC Cologne,Darmstadt
Hertha Berlin,Bayern Munich
Ingolstadt,Hannover 96
Schalke 04,Bayer Leverkusen
Borussia M.Gladbach,Hoffenheim
Eintracht Frankfurt,Mainz 05
Augsburg,FC Cologne
Hannover 96,Schalke 04
Hoffenheim,Ingolstadt
Mainz 05,Hamburger SV
Darmstadt,Eintracht Frankfurt
Bayern Munich,Borussia M.Gladbach
Borussia Dortmund,Wolfsburg
Bayer Leverkusen,Hertha Berlin
Werder Bremen,VfB Stuttgart
Schalke 04,Augsburg
Borussia M.Gladbach,Bayer Leverkusen
Hamburger SV,Wolfsburg
VfB Stuttgart,Mainz 05
Eintracht Frankfurt,Borussia Dortmund
FC Cologne,Werder Bremen
Hannover 96,Hoffenheim
Hertha Berlin,Darmstadt
Ingolstadt,Bayern Munich
Augsburg,Hamburger SV
Bayern Munich,Hannover 96
Werder Bremen,Eintracht Frankfurt
Borussia Dortmund,FC Cologne
Hoffenheim,Schalke 04
Bayer Leverkusen,Ingolstadt
Mainz 05,Hertha Berlin
Wolfsburg,VfB Stuttgart
Darmstadt,Borussia M.Gladbach
