Liga: Ligue_1   ; powers: p0.m; epowers: p0.m; lnpowers: p23.m; SUM: 40.63
Liga: Serie_A   ; powers: p0.m; epowers: p0.m; lnpowers: p23.m; SUM: -0.25
Liga: Bundesliga; powers: p0.m; epowers: p1.m; lnpowers: p23.m; SUM: -18.73
Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p23.m; SUM: 3.16
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p23.m; SUM: 49.99
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p23.m; SUM: -2.55
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p23.m; SUM: -13.46
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p23.m; SUM: -2.47
Liga: Ligue_1   ; powers: p0.m; epowers: p12.m; lnpowers: p23.m; SUM: 63
Liga: Serie_A   ; powers: p0.m; epowers: p12.m; lnpowers: p23.m; SUM: 13.28
Liga: Bundesliga; powers: p0.m; epowers: p123.m; lnpowers: p23.m; SUM: -21.49
Liga: LaLiga    ; powers: p0.m; epowers: p123.m; lnpowers: p23.m; SUM: 0.24
Liga: Ligue_1   ; powers: p0.m; epowers: p123.m; lnpowers: p23.m; SUM: 49.08
Liga: Serie_A   ; powers: p0.m; epowers: p123.m; lnpowers: p23.m; SUM: 10.32
Liga: Bundesliga; powers: p0.m; epowers: p13.m; lnpowers: p23.m; SUM: -14.08
Liga: LaLiga    ; powers: p0.m; epowers: p13.m; lnpowers: p23.m; SUM: -0.69
Liga: Ligue_1   ; powers: p0.m; epowers: p13.m; lnpowers: p23.m; SUM: 50.88
Liga: Serie_A   ; powers: p0.m; epowers: p13.m; lnpowers: p23.m; SUM: 10.28
Liga: Bundesliga; powers: p0.m; epowers: p2.m; lnpowers: p23.m; SUM: -18.6
Liga: LaLiga    ; powers: p0.m; epowers: p2.m; lnpowers: p23.m; SUM: 2.82
Liga: Ligue_1   ; powers: p0.m; epowers: p2.m; lnpowers: p23.m; SUM: 42.34
Liga: Serie_A   ; powers: p0.m; epowers: p2.m; lnpowers: p23.m; SUM: 4.88
Liga: Bundesliga; powers: p0.m; epowers: p23.m; lnpowers: p23.m; SUM: -17.85
Liga: LaLiga    ; powers: p0.m; epowers: p23.m; lnpowers: p23.m; SUM: -3.38
Liga: Ligue_1   ; powers: p0.m; epowers: p23.m; lnpowers: p23.m; SUM: 50.78
Liga: Serie_A   ; powers: p0.m; epowers: p23.m; lnpowers: p23.m; SUM: 4.59
Liga: Bundesliga; powers: p0.m; epowers: p3.m; lnpowers: p23.m; SUM: -15
Liga: LaLiga    ; powers: p0.m; epowers: p3.m; lnpowers: p23.m; SUM: 2.62
Liga: Ligue_1   ; powers: p0.m; epowers: p3.m; lnpowers: p23.m; SUM: 37.85
Liga: Serie_A   ; powers: p0.m; epowers: p3.m; lnpowers: p23.m; SUM: 6.21
Liga: Bundesliga; powers: p0.m; epowers: p0.m; lnpowers: p3.m; SUM: -13.88
Liga: LaLiga    ; powers: p0.m; epowers: p0.m; lnpowers: p3.m; SUM: 3.1
Liga: Ligue_1   ; powers: p0.m; epowers: p0.m; lnpowers: p3.m; SUM: 36.35
Liga: Serie_A   ; powers: p0.m; epowers: p0.m; lnpowers: p3.m; SUM: 29.63
Liga: Bundesliga; powers: p0.m; epowers: p1.m; lnpowers: p3.m; SUM: -16.05
Liga: LaLiga    ; powers: p0.m; epowers: p1.m; lnpowers: p3.m; SUM: 0.76
Liga: Ligue_1   ; powers: p0.m; epowers: p1.m; lnpowers: p3.m; SUM: 47.85
Liga: Serie_A   ; powers: p0.m; epowers: p1.m; lnpowers: p3.m; SUM: 12.59
Liga: Bundesliga; powers: p0.m; epowers: p12.m; lnpowers: p3.m; SUM: -15.11
Liga: LaLiga    ; powers: p0.m; epowers: p12.m; lnpowers: p3.m; SUM: -1.23
Liga: Ligue_1   ; powers: p0.m; epowers: p12.m; lnpowers: p3.m; SUM: 44.28
Liga: Serie_A   ; powers: p0.m; epowers: p12.m; lnpowers: p3.m; SUM: 13.84
Liga: Bundesliga; powers: p0.m; epowers: p123.m; lnpowers: p3.m; SUM: -8.75
Liga: LaLiga    ; powers: p0.m; epowers: p123.m; lnpowers: p3.m; SUM: -6.03
Liga: Ligue_1   ; powers: p0.m; epowers: p123.m; lnpowers: p3.m; SUM: 57.29
Liga: Serie_A   ; powers: p0.m; epowers: p123.m; lnpowers: p3.m; SUM: 12.7
Liga: Bundesliga; powers: p0.m; epowers: p13.m; lnpowers: p3.m; SUM: -14.17
Liga: LaLiga    ; powers: p0.m; epowers: p13.m; lnpowers: p3.m; SUM: -1.29
Liga: Ligue_1   ; powers: p0.m; epowers: p13.m; lnpowers: p3.m; SUM: 43.86
Liga: Serie_A   ; powers: p0.m; epowers: p13.m; lnpowers: p3.m; SUM: 14.04
Liga: Bundesliga; powers: p0.m; epowers: p2.m; lnpowers: p3.m; SUM: -15.26
Liga: LaLiga    ; powers: p0.m; epowers: p2.m; lnpowers: p3.m; SUM: 3.52
Liga: Ligue_1   ; powers: p0.m; epowers: p2.m; lnpowers: p3.m; SUM: 47.04
