Liga: Serie_A   ; powers: p134.m; epowers: p123.m; lnpowers: p123.m; SUM: -15.8
Liga: Bundesliga; powers: p2345.m; epowers: p12.m; lnpowers: p1.m; SUM: -1.51
Liga: LaLiga    ; powers: p2345.m; epowers: p12.m; lnpowers: p1.m; SUM: -12.34
Liga: Ligue_1   ; powers: p2345.m; epowers: p12.m; lnpowers: p1.m; SUM: -1.27
Liga: Serie_A   ; powers: p2345.m; epowers: p12.m; lnpowers: p1.m; SUM: 8.95
Liga: Bundesliga; powers: p2345.m; epowers: p12.m; lnpowers: p23.m; SUM: 3.24
Liga: LaLiga    ; powers: p2345.m; epowers: p12.m; lnpowers: p23.m; SUM: -10.88
Liga: Ligue_1   ; powers: p2345.m; epowers: p12.m; lnpowers: p23.m; SUM: 3.88
Liga: Serie_A   ; powers: p2345.m; epowers: p12.m; lnpowers: p23.m; SUM: 2.47
Liga: Bundesliga; powers: p134.m; epowers: p12.m; lnpowers: p123.m; SUM: 2.27
Liga: LaLiga    ; powers: p134.m; epowers: p12.m; lnpowers: p123.m; SUM: -7.85
Liga: Ligue_1   ; powers: p134.m; epowers: p12.m; lnpowers: p123.m; SUM: 14.69
Liga: Serie_A   ; powers: p134.m; epowers: p12.m; lnpowers: p123.m; SUM: 11.96
Liga: Bundesliga; powers: p234.m; epowers: p12.m; lnpowers: p123.m; SUM: -1.75
Liga: LaLiga    ; powers: p234.m; epowers: p12.m; lnpowers: p123.m; SUM: -7.96
Liga: Ligue_1   ; powers: p234.m; epowers: p12.m; lnpowers: p123.m; SUM: 11.17
Liga: Serie_A   ; powers: p234.m; epowers: p12.m; lnpowers: p123.m; SUM: 8.65
Liga: Bundesliga; powers: p1345.m; epowers: p12.m; lnpowers: p3.m; SUM: -0.24
Liga: LaLiga    ; powers: p1345.m; epowers: p12.m; lnpowers: p3.m; SUM: -10.25
Liga: Ligue_1   ; powers: p1345.m; epowers: p12.m; lnpowers: p3.m; SUM: -2.09
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p3.m; SUM: 10.49
Liga: Bundesliga; powers: p1345.m; epowers: p12.m; lnpowers: p1.m; SUM: 0.49
Liga: LaLiga    ; powers: p1345.m; epowers: p12.m; lnpowers: p1.m; SUM: -10.07
Liga: Ligue_1   ; powers: p1345.m; epowers: p12.m; lnpowers: p1.m; SUM: -0.91
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p1.m; SUM: 10.54
Liga: Bundesliga; powers: p1345.m; epowers: p12.m; lnpowers: p12.m; SUM: -1.35
Liga: LaLiga    ; powers: p1345.m; epowers: p12.m; lnpowers: p12.m; SUM: -7.93
Liga: Ligue_1   ; powers: p1345.m; epowers: p12.m; lnpowers: p12.m; SUM: -1.3
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p12.m; SUM: 14.71
Liga: Bundesliga; powers: p235.m; epowers: p12.m; lnpowers: p123.m; SUM: -3.74
Liga: LaLiga    ; powers: p235.m; epowers: p12.m; lnpowers: p123.m; SUM: -8.38
Liga: Ligue_1   ; powers: p235.m; epowers: p12.m; lnpowers: p123.m; SUM: 3.51
Liga: Serie_A   ; powers: p235.m; epowers: p12.m; lnpowers: p123.m; SUM: 11.14
